,episode,make_span,reward
0,0.0,34.0,-5.3999999999999995
1,0.0,40.0,-9.0
2,0.0,44.0,-11.4
3,0.0,33.0,-4.800000000000001
4,0.0,44.0,-11.4
5,1.0,34.0,-5.4
6,1.0,34.0,-5.4
7,1.0,33.0,-4.800000000000001
8,1.0,33.0,-4.800000000000001
9,1.0,40.0,-9.0
10,2.0,34.0,-5.4
11,2.0,34.0,-5.4
12,2.0,33.0,-4.800000000000001
13,2.0,40.0,-9.0
14,2.0,38.0,-7.8
15,3.0,34.0,-5.4
16,3.0,44.0,-11.4
17,3.0,34.0,-5.3999999999999995
18,3.0,33.0,-4.8
19,3.0,34.0,-5.3999999999999995
20,4.0,44.0,-11.4
21,4.0,34.0,-5.3999999999999995
22,4.0,34.0,-5.4
23,4.0,40.0,-9.0
24,4.0,34.0,-5.4
25,5.0,34.0,-5.3999999999999995
26,5.0,34.0,-5.4
27,5.0,33.0,-4.800000000000001
28,5.0,34.0,-5.3999999999999995
29,5.0,34.0,-5.4
30,6.0,34.0,-5.4
31,6.0,33.0,-4.8
32,6.0,34.0,-5.4
33,6.0,34.0,-5.3999999999999995
34,6.0,34.0,-5.3999999999999995
35,7.0,34.0,-5.4
36,7.0,34.0,-5.4
37,7.0,34.0,-5.3999999999999995
38,7.0,34.0,-5.4
39,7.0,34.0,-5.4
40,8.0,34.0,-5.3999999999999995
41,8.0,34.0,-5.4
42,8.0,34.0,-5.4
43,8.0,34.0,-5.4
44,8.0,34.0,-5.4
45,9.0,34.0,-5.4
46,9.0,33.0,-4.8
47,9.0,34.0,-5.4
48,9.0,33.0,-4.8
49,9.0,34.0,-5.4
50,10.0,34.0,-5.4
51,10.0,33.0,-4.8
52,10.0,33.0,-4.8
53,10.0,34.0,-5.3999999999999995
54,10.0,34.0,-5.3999999999999995
55,11.0,34.0,-5.4
56,11.0,34.0,-5.4
57,11.0,34.0,-5.3999999999999995
58,11.0,34.0,-5.4
59,11.0,33.0,-4.800000000000001
60,12.0,33.0,-4.8
61,12.0,33.0,-4.8
62,12.0,34.0,-5.4
63,12.0,34.0,-5.4
64,12.0,34.0,-5.3999999999999995
65,13.0,34.0,-5.3999999999999995
66,13.0,44.0,-11.4
67,13.0,34.0,-5.3999999999999995
68,13.0,33.0,-4.8
69,13.0,34.0,-5.3999999999999995
70,14.0,33.0,-4.800000000000001
71,14.0,34.0,-5.4
72,14.0,33.0,-4.800000000000001
73,14.0,34.0,-5.4
74,14.0,34.0,-5.4
75,15.0,34.0,-5.3999999999999995
76,15.0,34.0,-5.3999999999999995
77,15.0,44.0,-11.4
78,15.0,33.0,-4.800000000000001
79,15.0,33.0,-4.800000000000001
80,16.0,40.0,-9.0
81,16.0,34.0,-5.3999999999999995
82,16.0,33.0,-4.8
83,16.0,34.0,-5.4
84,16.0,40.0,-9.0
85,17.0,34.0,-5.3999999999999995
86,17.0,34.0,-5.3999999999999995
87,17.0,33.0,-4.8
88,17.0,33.0,-4.8
89,17.0,33.0,-4.8
90,18.0,40.0,-9.0
91,18.0,33.0,-4.8
92,18.0,34.0,-5.4
93,18.0,33.0,-4.800000000000001
94,18.0,40.0,-9.0
95,19.0,34.0,-5.4
96,19.0,33.0,-4.8
97,19.0,33.0,-4.8
98,19.0,33.0,-4.8
99,19.0,33.0,-4.8
100,20.0,33.0,-4.800000000000001
101,20.0,34.0,-5.4
102,20.0,33.0,-4.8
103,20.0,34.0,-5.4
104,20.0,33.0,-4.8
105,21.0,40.0,-9.0
106,21.0,33.0,-4.8
107,21.0,34.0,-5.4
108,21.0,33.0,-4.8
109,21.0,34.0,-5.4
110,22.0,33.0,-4.8
111,22.0,33.0,-4.8
112,22.0,33.0,-4.8
113,22.0,33.0,-4.8
114,22.0,34.0,-5.4
115,23.0,33.0,-4.800000000000001
116,23.0,33.0,-4.8
117,23.0,33.0,-4.8
118,23.0,33.0,-4.800000000000001
119,23.0,33.0,-4.8
120,24.0,34.0,-5.4
121,24.0,40.0,-9.0
122,24.0,33.0,-4.8
123,24.0,33.0,-4.8
124,24.0,33.0,-4.8
125,25.0,34.0,-5.4
126,25.0,34.0,-5.4
127,25.0,33.0,-4.8
128,25.0,33.0,-4.8
129,25.0,34.0,-5.4
130,26.0,33.0,-4.8
131,26.0,33.0,-4.8
132,26.0,33.0,-4.8
133,26.0,33.0,-4.8
134,26.0,33.0,-4.8
135,27.0,33.0,-4.8
136,27.0,34.0,-5.4
137,27.0,34.0,-5.4
138,27.0,33.0,-4.8
139,27.0,33.0,-4.8
140,28.0,33.0,-4.8
141,28.0,33.0,-4.8
142,28.0,33.0,-4.8
143,28.0,33.0,-4.8
144,28.0,33.0,-4.8
145,29.0,40.0,-9.0
146,29.0,33.0,-4.8
147,29.0,33.0,-4.8
148,29.0,33.0,-4.8
149,29.0,40.0,-9.0
150,30.0,33.0,-4.800000000000001
151,30.0,34.0,-5.4
152,30.0,33.0,-4.8
153,30.0,33.0,-4.8
154,30.0,33.0,-4.8
155,31.0,33.0,-4.8
156,31.0,33.0,-4.8
157,31.0,33.0,-4.8
158,31.0,40.0,-9.0
159,31.0,33.0,-4.8
160,32.0,34.0,-5.4
161,32.0,33.0,-4.8
162,32.0,33.0,-4.8
163,32.0,33.0,-4.8
164,32.0,40.0,-9.0
165,33.0,33.0,-4.8
166,33.0,33.0,-4.8
167,33.0,34.0,-5.4
168,33.0,33.0,-4.8
169,33.0,33.0,-4.8
170,34.0,33.0,-4.8
171,34.0,33.0,-4.8
172,34.0,33.0,-4.8
173,34.0,33.0,-4.8
174,34.0,33.0,-4.800000000000001
175,35.0,33.0,-4.8
176,35.0,33.0,-4.8
177,35.0,34.0,-5.4
178,35.0,33.0,-4.8
179,35.0,33.0,-4.8
180,36.0,33.0,-4.8
181,36.0,33.0,-4.8
182,36.0,33.0,-4.8
183,36.0,33.0,-4.8
184,36.0,34.0,-5.3999999999999995
185,37.0,33.0,-4.8
186,37.0,33.0,-4.8
187,37.0,33.0,-4.8
188,37.0,33.0,-4.8
189,37.0,33.0,-4.8
190,38.0,33.0,-4.8
191,38.0,33.0,-4.8
192,38.0,33.0,-4.8
