,data_set_rescheduling_new_middle,converge_cnt,total_time,no_op
abz7_new_25_23_15,579.0,3374.0,3601.867684364319,0.0
abz7_new_50_23_15,425.0,4609.0,3526.226632118225,0.0
abz7_new_75_23_15,364.0,459.0,219.4855921268463,0.0
dmu16_new_25_35_20,3776.0,899.0,3610.912345647812,0.0
dmu16_new_50_35_20,3041.0,1209.0,3609.9532721042633,0.0
dmu16_new_75_35_20,2806.0,1904.0,3602.04110789299,0.0
ft06_new_25_8_6,57.0,869.0,48.46215867996216,0.0
ft06_new_50_8_6,47.0,379.0,17.59605121612549,0.0
ft06_new_75_8_6,40.0,299.0,11.247633218765259,0.0
la21_new_25_18_10,1062.0,3479.0,1307.0031006336212,0.0
la21_new_50_18_10,798.0,1979.0,564.8012521266937,0.0
la21_new_75_18_10,620.0,854.0,150.9283480644226,0.0
la26_new_25_23_10,1202.0,1554.0,873.9925215244293,0.0
la26_new_50_23_10,903.0,1049.0,423.0839810371399,0.0
la26_new_75_23_10,827.0,249.0,62.26277232170105,0.0
orb01_new_25_13_10,1013.0,1744.0,398.4596195220947,0.0
orb01_new_50_13_10,835.0,1279.0,220.46216797828674,0.0
orb01_new_75_13_10,752.0,449.0,55.28557252883911,0.0
ta21_new_25_23_20,1591.0,1954.0,3604.4091789722443,0.0
ta21_new_50_23_20,1298.0,2634.0,3604.1270604133606,0.0
ta21_new_75_23_20,1310.0,629.0,531.1816077232361,0.0
ta61_new_25_55_20,2693.0,379.0,3625.927181482315,0.0
ta61_new_50_55_20,1914.0,544.0,3625.0587389469147,0.0
ta61_new_75_55_20,1402.0,709.0,3616.7943031787872,0.0
