,middle-trained,converge_cnt,total_time,no_op
abz7_new_25_23_15,590.0,3264.0,3603.671692609787,0.0
abz7_new_50_23_15,421.0,5464.0,3603.0944130420685,0.0
abz7_new_75_23_15,329.0,1424.0,573.1175727844238,0.0
dmu16_new_25_35_20,3691.0,1044.0,3604.793482065201,0.0
dmu16_new_50_35_20,2995.0,1414.0,3607.6164605617523,0.0
dmu16_new_75_35_20,2674.0,2299.0,3603.648200750351,0.0
ft06_new_25_8_6,58.0,104.0,4.13965916633606,0.0
ft06_new_50_8_6,57.0,29.0,0.999805212020874,0.0
ft06_new_75_8_6,53.0,29.0,0.7967181205749512,0.0
la21_new_25_18_10,1012.0,2964.0,833.9178574085236,0.0
la21_new_50_18_10,762.0,934.0,193.01624703407288,0.0
la21_new_75_18_10,613.0,564.0,76.24925446510315,0.0
la26_new_25_23_10,1175.0,3144.0,1369.1562068462372,0.0
la26_new_50_23_10,932.0,1819.0,564.4134745597839,0.0
la26_new_75_23_10,855.0,264.0,51.06622910499573,0.0
orb01_new_25_13_10,977.0,1019.0,174.34563875198364,0.0
orb01_new_50_13_10,793.0,1014.0,130.57300472259521,0.0
orb01_new_75_13_10,752.0,504.0,46.299126625061035,0.0
ta21_new_25_23_20,1585.0,2354.0,3606.4947922229767,0.0
ta21_new_50_23_20,1316.0,1574.0,1732.2375864982605,0.0
ta21_new_75_23_20,1310.0,279.0,189.8326997756958,0.0
ta61_new_25_55_20,2648.0,464.0,3628.019315481186,0.0
ta61_new_50_55_20,1914.0,659.0,3624.4856390953064,0.0
ta61_new_75_55_20,1347.0,1134.0,3615.4395229816437,0.0
