,small,converge_cnt,total_time,no_op
abz7_new_25_21_15,563.0,3504.0,3601.900988817215,0.0
abz7_new_50_21_15,393.0,1659.0,1137.3875546455383,0.0
abz7_new_75_21_15,284.0,224.0,82.57167840003967,0.0
dmu16_new_25_31_20,3492.0,1184.0,3603.7830514907837,0.0
dmu16_new_50_31_20,2913.0,1784.0,3602.944617509842,0.0
dmu16_new_75_31_20,2456.0,1109.0,1184.5186259746552,0.0
ft06_new_25_7_6,52.0,589.0,27.818392515182495,0.0
ft06_new_50_7_6,41.0,29.0,1.1947755813598633,0.0
ft06_new_75_7_6,34.0,29.0,0.6248505115509033,0.0
la21_new_25_16_10,926.0,2019.0,571.7369630336761,0.0
la21_new_50_16_10,646.0,1689.0,341.6204459667206,2.0
la21_new_75_16_10,659.0,44.0,5.082093715667725,0.0
la26_new_25_21_10,1070.0,5814.0,2591.0988624095917,0.0
la26_new_50_21_10,745.0,2304.0,731.9290237426758,0.0
la26_new_75_21_10,605.0,569.0,98.72289705276489,0.0
orb01_new_25_11_10,874.0,1429.0,234.8257224559784,0.0
orb01_new_50_11_10,644.0,634.0,72.91961979866028,0.0
orb01_new_75_11_10,574.0,454.0,32.06234860420227,0.0
ta21_new_25_21_20,1479.0,2404.0,3598.7982499599457,0.0
ta21_new_50_21_20,1036.0,2804.0,2885.2476041316986,0.0
ta21_new_75_21_20,905.0,969.0,541.7388422489166,0.0
ta61_new_25_51_20,2484.0,469.0,3618.385985136032,5.0
ta61_new_50_51_20,1729.0,659.0,3625.4373404979706,1.0
ta61_new_75_51_20,1119.0,549.0,1513.2638206481934,0.0
