,data_set_rescheduling_small_trained,converge_cnt,total_time,no_op
abz7_new_25_21_15,562.0,3854.0,3604.0360231399536,0.0
abz7_new_50_21_15,385.0,804.0,525.3145639896393,0.0
abz7_new_75_21_15,285.0,579.0,205.80994939804077,0.0
dmu16_new_25_31_20,3452.0,1114.0,3610.320402622223,0.0
dmu16_new_50_31_20,2917.0,1674.0,3602.0797142982483,0.0
dmu16_new_75_31_20,2463.0,899.0,1016.9433257579803,0.0
ft06_new_25_7_6,53.0,29.0,1.6236035823822021,0.0
ft06_new_50_7_6,42.0,29.0,1.1525323390960693,0.0
ft06_new_75_7_6,44.0,29.0,0.7691800594329834,0.0
la21_new_25_16_10,929.0,1734.0,501.82928252220154,0.0
la21_new_50_16_10,654.0,699.0,143.67250990867615,0.0
la21_new_75_16_10,524.0,259.0,30.028581857681274,0.0
la26_new_25_21_10,1033.0,2584.0,1190.6543576717377,0.0
la26_new_50_21_10,737.0,1594.0,512.5604991912842,0.0
la26_new_75_21_10,611.0,259.0,45.07695770263672,0.0
orb01_new_25_11_10,870.0,1544.0,261.3215572834015,0.0
orb01_new_50_11_10,644.0,779.0,93.22453022003174,0.0
orb01_new_75_11_10,650.0,54.0,3.965575933456421,0.0
ta21_new_25_21_20,1477.0,2329.0,3604.135713815689,0.0
ta21_new_50_21_20,1046.0,3379.0,3601.150794506073,0.0
ta21_new_75_21_20,903.0,504.0,298.62431597709656,0.0
ta61_new_25_51_20,2503.0,449.0,3637.7368099689484,0.0
ta61_new_50_51_20,1768.0,664.0,3605.9796583652496,0.0
ta61_new_75_51_20,1111.0,1264.0,3606.682074546814,0.0
